data gatherer,Genus,Species,Family,Realm,Kingdom,Phylum,Class,Order,"maximum body size (SVL, HBL, cm)",Source for maximum body size,notes on body size (e.g. type of metric),Trophic position,Source/logic for trophic position,migratory?,source/logic for migration info,dispersal distance category,logic/source for dispersal distance,dispersal type (walking may need to be reworded to something that encaptures slithering),logic/source for dispersal type,cold season dormancy?,source/logic for cold season dormancy,notes for cold season dormancy,hot season dormancy?,source/logic for hot season dormancy,notes for hot season dormancy,highland specialist,source/logic for highland specialist,Pelagic habitat (for marine species),source/logic for pelagic habitat,notes,origGenus,origSpecies,Terrestriality (available for mammals only; see panTHERIA metadata),pantheria05Genus,pantheria05Species,pantheria93Genus,pantheria93Species,allPantheriaSynonyms05,pantheriaReferences,binaryName,TRY species number (for plants),genus_species,limit_type
Micky,Eleutherodactylus,coqui,Eleutherodactylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,5.2,"Schwartz, A. and R.W. Henderson. 1991. Amphibians and Reptiles of the West Indies Descriptions, Distributions, and Natural History. University of Florida Press, Gainesville, Florida.",max adult SVL,insectivore,"Douglas P. Reagan and Robert B. Waide, ed. (1996). The Food Web of a Tropical Rain Forest. University Of Chicago Press.",Y,"Jarrod H. Fogarty and Francisco J. Vilella (2002). ""Population dynamic of Eleutherodactylus coqui in Cordillera Forest reserves of Puerto Rico"". Journal of Herpetology 36 (2): 193-201.",0-1,"Hobel, G. 1999. Notes on the natural history and habitat use of Eleutherodactylus ¥å�tzingeri (Anura: Leptodactylidae). Amphib.-Reptilia 20: 65 -72.",walking,"Jarrod H. Fogarty and Francisco J. Vilella (2002). ""Population dynamic of Eleutherodactylus coqui in Cordillera Forest reserves of Puerto Rico"". Journal of Herpetology 36 (2): 193-201.",Y,"Beachy, J. R., Neville, R., Arnott, C., Veitch, C. R., Clout, M. N., & Towns, D. R. (2011). Successful control of an incipient invasive amphibian: Eleutherodactylus coqui on O’ahu, Hawai’i. Island invasives: eradication and management, 140-147.",inactive during winter,N,no info - based on climate,,non-highland specialist,"Hedges, B., Joglar, R., Thomas, R., Powell, R. & Rios-Lí_pez, N. (2009) Eleutherodactylus coqui. In: IUCN 2012. IUCN Red List of Threatened Species. Version 2012.2.",NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eleutherodactylus_coqui,"max, min"
Micky,Engystomops,pustulosus,Leptodactylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,3.46,"Ryan, M.J. (1985). The Tí_ngara Frog: A Study in Sexual Selection and Communication. University of Chicago Press, Chicago.  ",NA,insectivore,Atencia et al. (2020) Russian Journal of Herpetology 27(3): 156-164,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Engystomops_pustulosus,min
Micky,Hyalinobatrachium,fleischmanni,Centrolenidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,3.2,"Guyer, C., and Donnelly, M. A. (2005).  Amphibians and Reptiles of La Selva, Costa Rica and the Caribbean Slope: A Comprehensive Guide.  University of California Press, Berkeley.  ",NA,insectivore,Luria Manzano and Ramirez-Bautista (2019) Acta Oecologica 98: 36-44,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hyalinobatrachium_fleischmanni,min
Micky,Leptodactylus,pentadactylus,Leptodactylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,13.31,"Heyer, W. R., de Síç, R. y Rettig, A. 2005. Sibling Species, Advertisment Calls and Reproductive Isolation, in Frogs of the  Leptodactylus pentadactylus  Species Cluster (Amphibia, Leptodactylidae). Herpetologia Petropolitana, Ananjeva N. and Tsinenko O. (eds.) 35-39",NA,insectivore,Caldwell and Vitt (1999) Oikos 84: 383-397,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leptodactylus_pentadactylus,min
Micky,Limnodynastes,dorsalis,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,7.5,Amphibian Research Centre. The Frogs of Australia. available at :[http://frogs.org.au],max adult length,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limnodynastes_dorsalis,max
Micky,Limnodynastes,fletcheri,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,5,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.  ",NA,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limnodynastes_fletcheri,max
Micky,Limnodynastes,tasmaniensis,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,4.5,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.  ",NA,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limnodynastes_tasmaniensis,max
Micky,Litoria,gracilenta,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,5,"Vanderduys, E. (2013). Field Guide of Frogs from Queensland. CSIRO Publishing, Clayton.",NA,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Litoria_gracilenta,max
Micky,Neobatrachus,pictus,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,5.8,Amphibian Research Centre. The Frogs of Australia. available at :[http://frogs.org.au],max adult length,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neobatrachus_pictus,max
Micky,Philoria,frosti,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,5.16,http://www.edgeofexistence.org/amphibians/species_info.php?id=570,max adult length,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philoria_frosti,max
Micky,Philoria,loveridgei,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,3,"Vanderduys, E. (2013). Field Guide of Frogs from Queensland. CSIRO Publishing, Clayton.",NA,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philoria_loveridgei,max
Micky,Pseudacris,cadaverina,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,3.6,"Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",max adult SVL,insectivore,frog,NA,NA,NA,NA,NA,NA,Y,"Harris, R. T. (1975). Seasonal activity and microhabitat utilization in Hyla cadaverina (Anura: Hylidae). Herpetologica, 236-239.",hibernates,N,no info - based on climate,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudacris_cadaverina,"max, min"
Micky,Pseudacris,regilla,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,3.78,"Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",max adult SVL,insectivore,frog,NA,NA,NA,NA,NA,NA,Y,"Norris, T., & Sells, S. (2004). Pacific chorus frog: Pseudacris regilla.",hibernates,N,no info - based on climate,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudacris_regilla,"max, min"
Micky,Pseudacris,triseriata,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,4,"Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",max adult SVL,insectivore,frog,NA,NA,0-1,"Kramer, D. C. 1973. Movements of western chorus frogs (Pseudacris triseriata triseriata ) tagged with Co60 - J. Herpetol. 7: 231 -235.",NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudacris_triseriata,max
Micky,Pseudophryne,corroboree,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,2.67,"Vences, M., Glaw, F. and Bohme, W. 1997. Evolutionary correlates of microphagy in alkaloid-containing frogs (Amphibia:Anura)",SVL,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudophryne_corroboree,max
Micky,Pseudophryne,dendyi,Myobatrachidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,3.2,Amphibian Research Centre. The Frogs of Australia. available at :[http://frogs.org.au],max adult length,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudophryne_dendyi,max
Micky,Rana,cascadae,Ranidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,7.5,"Stebbins, R. C. (1985). A Field Guide to Western Reptiles and Amphibians. Houghton Mifflin, Boston.",NA,insectivore,frog,NA,NA,NA,NA,NA,NA,Y,"Briggs, J. L. (1987). Breeding biology of the Cascade frog, Rana cascadae, with comparisons to R. aurora and R. pretiosa. Copeia, 1987(1), 241-245.",hibernates,N,"Song, S. Assessing the Impact of Climate and Snowpack on the Distribution of Amphibian Species in Sierra Nevada.",no aestivation,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rana_cascadae,"max, min"
Micky,Rana,pretiosa,Ranidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,10.5,"Rombough, C.R., M.P. Hayes, and J.D. Engler. 2006. Rana pretiosa (Oregon Spotted Frog). Maximum Size. Herpetological Review 37(2):210.",max adult body length,insectivore,frog,NA,NA,1--10,"Turner, F. B. 1960. Population structure and dynamics of the western spotted frog, Rana pretiosa Baird and Girard, in Yellowstone Park, Wyoming. Ecol. Monogr. 30: 251 -278.",NA,NA,Y,"Briggs, J. L. (1987). Breeding biology of the Cascade frog, Rana cascadae, with comparisons to R. aurora and R. pretiosa. Copeia, 1987(1), 241-245.",hibernates,N,no info - based on climate,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rana_pretiosa,"max, min"
Micky,Scinax,staufferi,Hylidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,2.9,"Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",max adult SVL,insectivore,frog,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scinax_staufferi,min
Micky,Spea,hammondii,Scaphiopodidae,Terrestrial,Animalia,Chordata,Amphibia,Anura,6.5,"Grismer, L. L. (2002). Amphibians and Reptiles of Baja California. The University of California Press, Berkeley",max adult SVL,insectivore,frog,NA,NA,NA,NA,NA,NA,N,no info - based on climate (desert),,Y,"Groff, L. A., Duffy, W. G., Kahara, S. N., & Chapin, S. J. (2012). Temporally irregular breeding of western spadefoot toads (Spea hammondii) in managed wetlands. Northwestern Naturalist, 93(1), 79-83.","remains dormant 8-10 months, emerges with warm rain",NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spea_hammondii,"max, min"
Micky,Ambystoma,jeffersonianum,Ambystomatidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,10.4,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",NA,insectivore,Judd (1957)  Ecology 38:77-81,NA,NA,1--10,"Bishops, S. C. 1941. The salamanders of New York. New York State Mudeum Bulletin",NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ambystoma_jeffersonianum,max
Micky,Ambystoma,macrodactylum,Ambystomatidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,5.5,"Russell, A.P. and G.L. Powell and D.R. Hall. 1996. Growth and age of Alberta long-toed salamanders (Ambystoma macrodactylum krausei): a comparison of two methods of estimation. Canadian Journal of Zoology 74:397äóñ412.",typical adult SVL,insectivore,Anderson (1968) Herpetologica 24(4): 273-284,NA,NA,1--10,"Funk, W. C. and Dunlap, W. W. 1999. Colonization of high-elevation lakes by long-toed salamanders (Ambystoma macrodactylum ) after the extinction of introduced trout populations. Can. J. Zool. 77: 1759 -1767",NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ambystoma_macrodactylum,max
Micky,Ambystoma,maculatum,Ambystomatidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,25,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",NA,insectivore,Nyman (1991) Journal of Herpetology 25(4): 505-509,NA,NA,0-1,"Madison, D. M. 1997. The emigration of radio-implanted spotted salamanders, Ambystoma maculatum . J. Herpetol. 31: 542 -551.",NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ambystoma_maculatum,max
Micky,Desmognathus,fuscus,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,6.77,"Yoder, T. A. (2007). Unique Herpetofauna of Murphy Lake State Game Area, Tuscola County, Michigan: Northern Dusky Salamander (Desmognathus fuscus) and Six-Lined Racerunner (Aspidscelis sexlineata) (Doctoral dissertation).",max adult SVL,insectivore,Sites (1978) Journal of Herpetology 12(3): 373-383,NA,NA,0-1,"Barthlamus, G. T. and Bellis, E. D. 1972. Home range, homing and homing mechanism of the salamander, Desmognathus fuscus. Copeia 1972: 632 -642.",NA,NA,N,"Ashton Jr, R. E. (1975). A study of movement, home range, and winter behavior of Desmognathus fuscus (Rafinesque). Journal of Herpetology, 85-91.",active throughout entire winter,N,no info - based on climate,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Desmognathus_fuscus,"max, min"
Micky,Desmognathus,ochrophaeus,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,7.3,"Bishop, S.C. 1943. A Handbook of Salamanders. The Salamanders of the United States, of Canada, and of Lower California. Comstock Publishing Company, Ithaca, New York.",female average total length,insectivore,Keen (1979) Journal of Herpetology 13(4): 461-467,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Desmognathus_ochrophaeus,max
Micky,Desmognathus,quadramaculatus,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,12,AmphibiaWeb,max adult SVL,insectivore,ADW,NA,NA,0-1,"Freeman, S. L. 2003. Movement of larval Desmognathus quadramaculatus in linear and connected habitats. Ph.D. thesis, Univ. of Virginia.",NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Desmognathus_quadramaculatus,max
Micky,Eurycea,bislineata,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,12.3,AmphibiaWeb,max adult SVL,insectivore,ADW,NA,NA,0-1,"Johnson, J. E. and Goldberg, A. S. 1975. Movement of larval two lined salamanders (Eurycea bislineata ) in the Mill River, Massachusetts. Copeia 1975: 588 -589.",NA,NA,Y,ADW,"""may remain active in springs streams or water laden soil where temperatures are above freezing in winter months. Alternatively adults may burrow deep into leaf litter becoming inactive during cold seasons"" happens when below 7 degrees (DOI: 10.2307/1563609)",N,no info - based on climate,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurycea_bislineata,"max, min"
Micky,Eurycea,longicauda,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,4.6,"Ireland, P.H. 1974. Reproduction and larval development of the dark-sided salamander, Eurycea longicauda melanopleura. Herpetologica 30:338äóñ343.",female SVL at maturity,insectivore,"Anderson, J.D. and P.J. Martino. 1966. The life history of Eurycea l. longicauda associated with ponds. American Midland Naturalist 75:257-279.",Y,"Mohr, C.E. 1944. A remarkable salamander migration. Proceedings of the Pennsylvania Academy of Science 18:51-54.",0-1,"Mohr, C.E. 1944. A remarkable salamander migration. Proceedings of the Pennsylvania Academy of Science 18:51-54.",walking,"Mohr, C.E. 1944. A remarkable salamander migration. Proceedings of the Pennsylvania Academy of Science 18:51-54.",Y,"Mohr, C.E. 1944. A remarkable salamander migration. Proceedings of the Pennsylvania Academy of Science 18:51-54.",,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurycea_longicauda,max
Micky,Eurycea,lucifuga,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,18.1,ADW,total length,omnivore,"Peck, S.B. 1974. The food of the salamanders Eurycea lucifuga and Plethodon glutinosus in caves. National Speleological Society Bulletin 36:7-10.",Y,"Hutchison, V.H. 1958. The distribution and ecology of the cave salamander, Eurycea lucifuga. Ecological Monographs 28:1-20.",0-1,"Hutchison, V.H. 1958. The distribution and ecology of the cave salamander, Eurycea lucifuga. Ecological Monographs 28:1-20.",walking,"Hutchison, V.H. 1958. The distribution and ecology of the cave salamander, Eurycea lucifuga. Ecological Monographs 28:1-20.",N,"Hutchison, V.H. 1958. The distribution and ecology of the cave salamander, Eurycea lucifuga. Ecological Monographs 28:1-20.",,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurycea_lucifuga,max
Micky,Eurycea,multiplicata,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,16,"Dundee, H.A. 1965a. Eurycea multiplicata. Pp. 21.1äóñ21.2. Catalogue of American Amphibians and Reptiles. Society for the Study of Amphibians and Reptiles, St. Louis, Missouri.",NA,insectivore,"Dundee, 1958",N,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurycea_multiplicata,max
Micky,Eurycea,nana,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,2.35,"Tupa, D.D. and W.K. Davis. 1976. Population dynamics of the San Marcos salamander, Eurycea nana Bishop. Texas Journal of Science 27:179äóñ195.",,omnivore,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",N,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurycea_nana,max
Micky,Notophthalmus,viridescens,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,11,"Hurlbert, S.H. 1969. The breeding migrations and interhabitat wandering of the vermilion-spotted newt, Notophthalmus viridescens (Rafinesque). Ecological Monographs 39:465äóñ488.",max total length,insectivore,ADW,NA,NA,0-1,"Gill, D. E. 1978. The metapopulation ecology of the red-spotted newt, Notophthalmus v iridescens, (Ra¥å�nesque). Ecol. Monogr. 48: 145 -166.",NA,NA,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Notophthalmus_viridescens,max
Micky,Plethodon,glutinosus,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,17.145,ADW,max total length,omnivore,"Oliver, G.V. 1967. Food habits of the white-throated slimy salamander in central Texas. Transactions of the Oklahoma Junior Academy of Science 1967:500äóñ503.",Y,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",0-1,"Wells, K. D. and Wells, R. A. 1976. Patterns of movement in a population of the slimy salamander, Plethodon glutinosus, with observations on aggregations. / Herpetologica 32: 156 -162.",walking,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",NA,NA,,NA,NA,,highland specialist,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plethodon_glutinosus,max
Micky,Pseudotriton,ruber,Plethodontidae,Terrestrial,Animalia,Chordata,Amphibia,Caudata,18,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",NA,omnivore,"Axtell, H.H. and R.C. Axtell 1948. Pseudotriton ruber in central New York state. Copeia 1948:64.",Y,"Axtell, H.H. and R.C. Axtell 1948. Pseudotriton ruber in central New York state. Copeia 1948:64.",0-1,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",swimming,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudotriton_ruber,max
Miguel R.,Acanthodactylus,erythrurus,Lacertidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,NA,NA,NA,omnivore,Busack and Jaksic (1982) Amphibia-Reptilia 3(2): 237-255,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",NA,NA,slithering,Squamate slithering tetrapod,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acanthodactylus_erythrurus,max
Adam A,Acontias,meleagris,Scincidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,27.5,Meiri 2008,max adult SVL,insectivore,http://eol.org/pages/796060/details,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1km,""" """,Walking,Squamate walking tetrapod,Y,No info- based on climate,,No,No info- based on climate,,No,Based on type locality,NA,terrestrial,"This species is fossorial and legless hence ""walking"" may not be an accurate description of its dispersal method, diet classification based on congener",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acontias_meleagris,max
Miguel R.,Agkistrodon,contortrix,Viperidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,135,ADW U of Michigan,max total length,carnivore,ADW U of Michigan,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",NA,NA,slithering,Squamate slithering tetrapod,Y,"Grimm A, Ramírez AMP, Moulherat S, Reynaud J, Henle K (2014) Life-history trait database of European reptile species. Nature Conservation 9: 45-67. https://doi.org/10.3897/natureconservation.9.8908",based on species with same genus,N,no info - based on climate,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agkistrodon_contortrix,"max, min"
Ignacio,Ameiva,festiva,Teiidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,88.2,Meiri 2008,max adult SVL,insectivore,http://eol.org/,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1km,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,NA,N,no evidence for brumination,,N,no info - based on climate,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ameiva_festiva,"max, min"
Ignacio,Amphibolurus,muricatus,Agamidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,125,Meiri 2008,max adult SVL,"insectivore, omnivore","Walton, D. W. Ed. 1987. Fauna of Australia, Volume 1A. Australian Government Publishing Service, Canberra. ISBN 0-644-06055-7",non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1Km,"Warner, D. A., & Shine, R. (2008). Determinants of Dispersal Distance in Freeäó�Ranging Juvenile Lizards. Ethology, 114(4), 361-368.",walking,Squamate walking tetrapod,Y,"Hall, J. M., & Warner, D. A. (2017). Winter Microhabitat Selection and Growth of Jacky Dragons (Amphibolurus muricatus). Copeia, 105(4), 618-625.","""typically become inactive as temperatures cool in May (Autumn) and remain relatively inactive through July (Winter; Harlow and Taylor, 2000).""",N,no info - based on climate and congeners,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphibolurus_muricatus,"max, min"
Miguel R.,Anniella,pulchra,Anniellidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,17,ADW U of Michigan,max adult SVL,carnivore,ADW U of Michigan,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",NA,NA,slithering,Squamate slithering tetrapod,NA,NA,,NA,NA,,NA,NA,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anniella_pulchra,max
Adam A,Anolis,barbouri,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,5.5,Meiri 2008,max adult SVL,insectivore,10.1093/beheco/14.3.409 note that all polychrotids except perhaps one are insectivores. That one is evermanni,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1km,""" """,Walking,Squamate walking tetrapod,N,neo-tropical,,N,no info - based on climate,,No,Based on range,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anolis_barbouri,"max, min"
Adam A,Anolis,carolinensis,Dactyloidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,7.5,Meiri 2008,max adult SVL,insectivore,10.1890/0012-9658(2002)083[1870:LHRREO]2.0.CO;2,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1km,""" """,Walking,Squamate walking tetrapod,N,not true hibernation - https://doi.org/10.1655/02-34,"reduced activity, only active on warm days",N,no info - based on climate,,No,Based on range,NA,terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anolis_carolinensis,"max, min"
